plant_id,fips_raw,county_FIPS,coord_lat,coord_long,coords,plant_name,plant_state,census_region,NERC_region,prime_mover,reported_FTC,AER_FTC,AER_FTC_full,MMBTU_con_tot_YTD,MMBTU_con_elec_YTD,MWh_net_gen_elec_YTD
10874,6027,06027,36.0192,-117.7917,"36.0192,-117.7917",Coso Power Developers,CA,PACC,WECC,ST,GEO,GEO,Geothermal,3641184,3641184,408892
10875,6027,06027,36.0019,-117.7886,"36.0019,-117.7886",Coso Energy Developers,CA,PACC,WECC,ST,GEO,GEO,Geothermal,2484862,2484862,279041
10878,6025,06025,33.158,-115.6475,"33.158,-115.6475",Salton Sea Power Gen Co - Unit 1,CA,PACC,WECC,ST,GEO,GEO,Geothermal,677663,677663,76099
10879,6025,06025,33.1589,-115.6455,"33.1589,-115.6455",Salton Sea Power Gen Co - Unit 2,CA,PACC,WECC,ST,GEO,GEO,Geothermal,955187,955187,107264
10880,6089,06089,40.8014,-121.4481,"40.8014,-121.4481",Bidwell Ditch Project,CA,PACC,WECC,HY,WAT,HYC,Hydroelectric Conventional,67526,67526,7583
10881,6089,06089,40.882061,-121.948353,"40.882061,-121.948353",Roaring Creek Water Power,CA,PACC,WECC,HY,WAT,HYC,Hydroelectric Conventional,69982,69982,7859
10882,6089,06089,40.874144,-121.920428,"40.874144,-121.920428",Hatchet Creek Project,CA,PACC,WECC,HY,WAT,HYC,Hydroelectric Conventional,212963,212963,23915
10883,25021,25021,42.33685,-71.10815,"42.33685,-71.10815",Medical Area Total Energy Plant,MA,NEW,NPCC,GT,DFO,DFO,Distillate Petroleum,49844,16481,3455.743
10883,25021,25021,42.33685,-71.10815,"42.33685,-71.10815",Medical Area Total Energy Plant,MA,NEW,NPCC,GT,NG,NG,Natural Gas,3363287,1112103,233177.02
10883,25021,25021,42.33685,-71.10815,"42.33685,-71.10815",Medical Area Total Energy Plant,MA,NEW,NPCC,IC,DFO,DFO,Distillate Petroleum,29735,15474,3244.78
10883,25021,25021,42.33685,-71.10815,"42.33685,-71.10815",Medical Area Total Energy Plant,MA,NEW,NPCC,ST,NG,NG,Natural Gas,4668190,368225,76418.54
10884,6037,06037,34.326242,-118.44477,"34.326242,-118.44477",Olive View Medical Center,CA,PACC,WECC,GT,DFO,DFO,Distillate Petroleum,0,0,0
10884,6037,06037,34.326242,-118.44477,"34.326242,-118.44477",Olive View Medical Center,CA,PACC,WECC,GT,NG,NG,Natural Gas,299331,79007,14279.16
10902,36091,36091,42.9197,-76.5477,"42.9197,-76.5477",Victory Mills,NY,MAT,NPCC,HY,WAT,HYC,Hydroelectric Conventional,49584,49584,5568
10903,17197,17197,41.5697,-88.0789,"41.5697,-88.0789",Lockport Powerhouse,IL,ENC,RFC,HY,WAT,HYC,Hydroelectric Conventional,366235,366235,41127
50002,25003,25003,42.4564,-73.2181,"42.4564,-73.2181",Pittsfield Generating LP,MA,NEW,NPCC,CA,DFO,DFO,Distillate Petroleum,0,0,119.254
50002,25003,25003,42.4564,-73.2181,"42.4564,-73.2181",Pittsfield Generating LP,MA,NEW,NPCC,CA,NG,NG,Natural Gas,0,0,25010.746
50002,25003,25003,42.4564,-73.2181,"42.4564,-73.2181",Pittsfield Generating LP,MA,NEW,NPCC,CT,DFO,DFO,Distillate Petroleum,5296,5163,408.277
50002,25003,25003,42.4564,-73.2181,"42.4564,-73.2181",Pittsfield Generating LP,MA,NEW,NPCC,CT,NG,NG,Natural Gas,730904,719383,54623.723
50003,6029,06029,35.0968,-119.4299,"35.0968,-119.4299",Chalk Cliff Limited,CA,PACC,WECC,GT,NG,NG,Natural Gas,94262,76960,9995
50006,34039,34039,40.6322,-74.2156,"40.6322,-74.2156",Linden Cogen Plant,NJ,MAT,RFC,CA,DFO,DFO,Distillate Petroleum,0,0,222.55
50006,34039,34039,40.6322,-74.2156,"40.6322,-74.2156",Linden Cogen Plant,NJ,MAT,RFC,CA,NG,NG,Natural Gas,4283314,4283314,1366947.5
50006,34039,34039,40.6322,-74.2156,"40.6322,-74.2156",Linden Cogen Plant,NJ,MAT,RFC,CA,WO,WOO,Waste Oil,10211,10211,3072.942
50006,34039,34039,40.6322,-74.2156,"40.6322,-74.2156",Linden Cogen Plant,NJ,MAT,RFC,CT,DFO,DFO,Distillate Petroleum,8162,5582,697.228
50006,34039,34039,40.6322,-74.2156,"40.6322,-74.2156",Linden Cogen Plant,NJ,MAT,RFC,CT,NG,NG,Natural Gas,47913962,29024902,4119147.3
50006,34039,34039,40.6322,-74.2156,"40.6322,-74.2156",Linden Cogen Plant,NJ,MAT,RFC,CT,WO,WOO,Waste Oil,116351,68834,9939.508
50010,54019,54019,38.1483,-81.2147,"38.1483,-81.2147",Glen Ferris Hydro,WV,SAT,RFC,HY,WAT,HYC,Hydroelectric Conventional,101952,101952,11449
50011,54019,54019,38.1478,-81.1753,"38.1478,-81.1753",Hawks Nest Hydro,WV,SAT,RFC,HY,WAT,HYC,Hydroelectric Conventional,4912442,4912442,551650
50026,48355,48355,27.8322,-97.5281,"27.8322,-97.5281",Corpus Refinery,TX,WSC,TRE,GT,NG,NG,Natural Gas,3311376,1256874,280241
50028,22073,22073,32.486787,-92.149597,"32.486787,-92.149597",Plant 31 Paper Mill,LA,WSC,SERC,GT,NG,NG,Natural Gas,2735951,2735951,266131.74
50028,22073,22073,32.486787,-92.149597,"32.486787,-92.149597",Plant 31 Paper Mill,LA,WSC,SERC,ST,BLQ,WWW,Wood and Wood Waste,9068311,2276655,186461.19
50028,22073,22073,32.486787,-92.149597,"32.486787,-92.149597",Plant 31 Paper Mill,LA,WSC,SERC,ST,NG,NG,Natural Gas,3981968,1007108,82483.429
50028,22073,22073,32.486787,-92.149597,"32.486787,-92.149597",Plant 31 Paper Mill,LA,WSC,SERC,ST,WDS,WWW,Wood and Wood Waste,3941604,960503,78666.392
50031,36083,36083,42.721326,-73.680608,"42.721326,-73.680608",Mt Ida Hydroelectric,NY,MAT,NPCC,HY,WAT,HYC,Hydroelectric Conventional,82585,82585,9274
50034,36083,36083,42.9044,-73.5625,"42.9044,-73.5625",Valley Falls Hydroelectric Facility,NY,MAT,NPCC,HY,WAT,HYC,Hydroelectric Conventional,47668,47668,5353
50035,23001,23001,44.067792,-70.260831,"44.067792,-70.260831",MMWAC Resource Recovery Facility,ME,NEW,NPCC,ST,MSB,MLG,Biogenic Municipal Solid Waste and Landfill Gas,335079,335079,7205.062
50035,23001,23001,44.067792,-70.260831,"44.067792,-70.260831",MMWAC Resource Recovery Facility,ME,NEW,NPCC,ST,MSN,OTH,Other (including nonbiogenic MSW),409547,409547,8806.268
50035,23001,23001,44.067792,-70.260831,"44.067792,-70.260831",MMWAC Resource Recovery Facility,ME,NEW,NPCC,ST,NG,NG,Natural Gas,4080,4080,88.67
50036,54095,54095,39.6672,-80.8642,"39.6672,-80.8642",New Martinsville Hannibal Hydro,WV,SAT,RFC,HY,WAT,HYC,Hydroelectric Conventional,1907773,1907773,214236
50037,6029,06029,35.43,-118.8222,"35.43,-118.8222",Rio Bravo Hydro Project,CA,PACC,WECC,HY,WAT,HYC,Hydroelectric Conventional,353252,353252,39669
50041,25027,25027,42.309555,-71.805218,"42.309555,-71.805218",Norton Powerhouse,MA,NEW,NPCC,ST,BIT,COL,Coal ,0,0,0
50041,25027,25027,42.309555,-71.805218,"42.309555,-71.805218",Norton Powerhouse,MA,NEW,NPCC,ST,NG,NG,Natural Gas,1142551,325181,37127
50043,48201,48201,29.7314,-95.0839,"29.7314,-95.0839",Houston Chemical Complex Battleground,TX,WSC,TRE,CA,NG,NG,Natural Gas,1123103,1029652,356376.06
50043,48201,48201,29.7314,-95.0839,"29.7314,-95.0839",Houston Chemical Complex Battleground,TX,WSC,TRE,CA,OG,OOG,Other Gases,917471,106223,19301.936
50043,48201,48201,29.7314,-95.0839,"29.7314,-95.0839",Houston Chemical Complex Battleground,TX,WSC,TRE,CT,NG,NG,Natural Gas,17405747,8674918,1357472
50043,48201,48201,29.7314,-95.0839,"29.7314,-95.0839",Houston Chemical Complex Battleground,TX,WSC,TRE,CT,OG,OOG,Other Gases,0,0,0
50047,23001,23001,44.503704,-70.220971,"44.503704,-70.220971",International Paper Jay Hydro,ME,NEW,NPCC,HY,WAT,HYC,Hydroelectric Conventional,140645,140645,15794
50049,6023,06023,40.4728,-124.1014,"40.4728,-124.1014",Humboldt Sawmill Company,CA,PACC,WECC,ST,DFO,DFO,Distillate Petroleum,7730,7730,380.869
50049,6023,06023,40.4728,-124.1014,"40.4728,-124.1014",Humboldt Sawmill Company,CA,PACC,WECC,ST,WDS,WWW,Wood and Wood Waste,2494207,2494207,122446.13
50051,23019,23019,44.7383,-68.8258,"44.7383,-68.8258",Penobscot Energy Recovery,ME,NEW,NPCC,ST,DFO,DFO,Distillate Petroleum,46007,46007,2285.415
50051,23019,23019,44.7383,-68.8258,"44.7383,-68.8258",Penobscot Energy Recovery,ME,NEW,NPCC,ST,MSB,MLG,Biogenic Municipal Solid Waste and Landfill Gas,752932,752932,37357.431
